nse_ticker,screener_symbol,company_name,sector,status,notes
ABCAPITAL.NS,ABCAPITAL,Aditya Birla Capital,Financial Services,OK,
CGPOWER.NS,CGPOWER,CG Power and Industrial Solutions,Capital Goods,OK,
CHOLAFIN.NS,CHOLAFIN,Cholamandalam Investment and Finance,Financial Services,OK,
DABUR.NS,DABUR,Dabur India,Consumer Goods,OK,
DLF.NS,DLF,DLF,Real Estate,OK,
DMART.NS,DMART,Avenue Supermarts,Consumer Services,OK,
GAIL.NS,GAIL,GAIL India,Energy,OK,
GODREJCP.NS,GODREJCP,Godrej Consumer Products,Consumer Goods,OK,
HAL.NS,HAL,Hindustan Aeronautics,Capital Goods,OK,
HAVELLS.NS,HAVELLS,Havells India,Consumer Durables,OK,
INDHOTEL.NS,INDHOTEL,Indian Hotels Company,Consumer Services,OK,
ICICIGI.NS,ICICIGI,ICICI Lombard General Insurance,Financial Services,OK,
ICICIPRULI.NS,ICICIPRULI,ICICI Prudential Life Insurance,Financial Services,OK,
INDIGO.NS,INDIGO,InterGlobe Aviation,Services,OK,
IRFC.NS,IRFC,Indian Railway Finance Corporation,Financial Services,OK,
JINDALSTEL.NS,JINDALSTEL,Jindal Steel and Power,Metals,OK,
JSWENERGY.NS,JSWENERGY,JSW Energy,Power,OK,
LICI.NS,LICI,Life Insurance Corporation of India,Financial Services,OK,
LODHA.NS,LODHA,Macrotech Developers,Real Estate,OK,
OFSS.NS,OFSS,Oracle Financial Services Software,Information Technology,OK,
MANKIND.NS,MANKIND,Mankind Pharma,Healthcare,OK,
MAXHEALTH.NS,MAXHEALTH,Max Healthcare Institute,Healthcare,OK,
MOTHERSON.NS,MOTHERSON,Samvardhana Motherson International,Automobile,OK,
NAUKRI.NS,NAUKRI,Info Edge India,Consumer Services,OK,
NHPC.NS,NHPC,NHPC,Power,OK,
PFC.NS,PFC,Power Finance Corporation,Financial Services,OK,
PIDILITIND.NS,PIDILITIND,Pidilite Industries,Chemicals,OK,
PNB.NS,PNB,Punjab National Bank,Financial Services,OK,
RECLTD.NS,RECLTD,REC,Financial Services,OK,
SHREECEM.NS,SHREECEM,Shree Cement,Cement,OK,
SIEMENS.NS,SIEMENS,Siemens,Capital Goods,OK,
TATAPOWER.NS,TATAPOWER,Tata Power,Power,OK,
TORNTPHARM.NS,TORNTPHARM,Torrent Pharmaceuticals,Healthcare,OK,
TRENT.NS,TRENT,Trent,Consumer Services,OK,
TVSMOTOR.NS,TVSMOTOR,TVS Motor Company,Automobile,OK,
UNIONBANK.NS,UNIONBANK,Union Bank of India,Financial Services,OK,
VBL.NS,VBL,Varun Beverages,Consumer Goods,OK,
VEDL.NS,VEDL,Vedanta,Metals,OK,
ETERNAL.NS,ETERNAL,Eternal,Consumer Services,OK,
ZYDUSLIFE.NS,ZYDUSLIFE,Zydus Lifesciences,Healthcare,OK,
ACC.NS,ACC,ACC,Cement,OK,
APLAPOLLO.NS,APLAPOLLO,APL Apollo Tubes,Metals,OK,
AUBANK.NS,AUBANK,AU Small Finance Bank,Financial Services,OK,
ALKEM.NS,ALKEM,Alkem Laboratories,Healthcare,OK,
ASHOKLEY.NS,ASHOKLEY,Ashok Leyland,Automobile,OK,
ASTRAL.NS,ASTRAL,Astral,Industrials,OK,
AUROPHARMA.NS,AUROPHARMA,Aurobindo Pharma,Healthcare,OK,
BALKRISIND.NS,BALKRISIND,Balkrishna Industries,Automobile,OK,
BANDHANBNK.NS,BANDHANBNK,Bandhan Bank,Financial Services,OK,
BANKINDIA.NS,BANKINDIA,Bank of India,Financial Services,OK,
BDL.NS,BDL,Bharat Dynamics,Capital Goods,OK,
BHARATFORG.NS,BHARATFORG,Bharat Forge,Automobile,OK,
BIOCON.NS,BIOCON,Biocon,Healthcare,OK,
COFORGE.NS,COFORGE,Coforge,Information Technology,OK,
COLPAL.NS,COLPAL,Colgate Palmolive India,Consumer Goods,OK,
CONCOR.NS,CONCOR,Container Corporation of India,Services,OK,
CUMMINSIND.NS,CUMMINSIND,Cummins India,Capital Goods,OK,
DALBHARAT.NS,DALBHARAT,Dalmia Bharat,Cement,OK,
DEEPAKNTR.NS,DEEPAKNTR,Deepak Nitrite,Chemicals,OK,
DELHIVERY.NS,DELHIVERY,Delhivery,Services,OK,
DIXON.NS,DIXON,Dixon Technologies,Consumer Durables,OK,
ESCORTS.NS,ESCORTS,Escorts Kubota,Automobile,OK,
FEDERALBNK.NS,FEDERALBNK,Federal Bank,Financial Services,OK,
FORTIS.NS,FORTIS,Fortis Healthcare,Healthcare,OK,
GLAND.NS,GLAND,Gland Pharma,Healthcare,OK,
GMRAIRPORT.NS,GMRAIRPORT,GMR Airports,Infrastructure,OK,
GODREJPROP.NS,GODREJPROP,Godrej Properties,Real Estate,OK,
PETRONET.NS,PETRONET,Petronet LNG,Energy,OK,
HDFCAMC.NS,HDFCAMC,HDFC Asset Management Company,Financial Services,OK,
HINDPETRO.NS,HINDPETRO,Hindustan Petroleum Corporation,Energy,OK,
HONAUT.NS,HONAUT,Honeywell Automation India,Capital Goods,OK,
IDFCFIRSTB.NS,IDFCFIRSTB,IDFC First Bank,Financial Services,OK,
IGL.NS,IGL,Indraprastha Gas,Energy,OK,
INDUSTOWER.NS,INDUSTOWER,Indus Towers,Telecom,OK,
IPCALAB.NS,IPCALAB,IPCA Laboratories,Healthcare,OK,
JSL.NS,JSL,Jindal Stainless,Metals,OK,
JUBLFOOD.NS,JUBLFOOD,Jubilant FoodWorks,Consumer Services,OK,
LALPATHLAB.NS,LALPATHLAB,Dr. Lal PathLabs,Healthcare,OK,
LAURUSLABS.NS,LAURUSLABS,Laurus Labs,Healthcare,OK,
LICHSGFIN.NS,LICHSGFIN,LIC Housing Finance,Financial Services,OK,
LTTS.NS,LTTS,L&T Technology Services,Information Technology,OK,
LUPIN.NS,LUPIN,Lupin,Healthcare,OK,
M&MFIN.NS,M&MFIN,Mahindra & Mahindra Financial Services,Financial Services,OK,
MANAPPURAM.NS,MANAPPURAM,Manappuram Finance,Financial Services,OK,
MARICO.NS,MARICO,Marico,Consumer Goods,OK,
MFSL.NS,MFSL,Max Financial Services,Financial Services,OK,
MPHASIS.NS,MPHASIS,Mphasis,Information Technology,OK,
MRF.NS,MRF,MRF,Automobile,OK,
NMDC.NS,NMDC,NMDC,Metals,OK,
OBEROIRLTY.NS,OBEROIRLTY,Oberoi Realty,Real Estate,OK,
